eventType,registerDate,stopId,odometer,latitude,longitude,lineId,tripId,unknown1,datagramDate,busId
0,31-MAY-18,511020,34,33531400,-765233667,986,3171,261,5445120516,2018-05-31 00:00:00,1006
0,31-MAY-18,500154,728,34330017,-764788467,770,2473,9851,5445120519,2018-05-31 00:00:00,1103
0,31-MAY-18,-1,1192,34973867,-765007900,-1,999,-1,5445120511,2018-05-31 00:00:00,1173
0,31-MAY-18,501401,2839,34730633,-765203033,917,2301,9934,5445120520,2018-05-31 00:00:00,1179
0,31-MAY-18,-1,263,34956867,-765047600,-1,999,-1,5445120514,2018-05-31 00:00:00,1185
0,31-MAY-18,511352,5686,33632700,-765244350,276,3122,9931,5445120509,2018-05-31 00:00:00,121
0,31-MAY-18,-1,40,33594433,-765116683,-1,999,-1,5445120512,2018-05-31 00:00:00,24
0,31-MAY-18,514302,257,34287900,-764866400,606,353,495,5445120523,2018-05-31 00:00:00,272
0,31-MAY-18,-1,3222,34957467,-765047383,-1,999,-1,5445120518,2018-05-31 00:00:00,307
0,31-MAY-18,504008,19,34905017,-764917733,545,2121,1882,5445120521,2018-05-31 00:00:00,53
0,31-MAY-18,-1,177,33580250,-765120517,-1,999,-1,5445120517,2018-05-31 00:00:00,54
0,31-MAY-18,514233,6,34101200,-764730300,790,2841,300,5445120513,2018-05-31 00:00:00,789
0,31-MAY-18,-1,638,33591850,-765112100,-1,999,-1,5445120522,2018-05-31 00:00:00,829
0,31-MAY-18,502100,12167,34343517,-764793650,832,2274,9927,5445120515,2018-05-31 00:00:00,975
0,31-MAY-18,-1,612,34304083,-764750033,-1,999,-1,5445120510,2018-05-31 00:00:00,983
