# Test: 10 MILLONES
# Timestamp: 2025-11-30T07:57:08.058718700
# Datagramas procesados: 7,864,467
# Tiempo procesamiento: 12,379,914 ms
# Resultados válidos: 1048/1048
arc_id,velocity_m_s,velocity_km_h,sample_count,line_id,timestamp
ARC_A19_511489_510782,48.8164,175.7389,1,A19,2025-11-30T07:57:08.0587187
ARC_A08_510076_511391,8.4242,30.3271,1,A08,2025-11-30T07:57:08.0592918
ARC_A10_511813_511795,21.2668,76.5604,1,A10,2025-11-30T07:57:08.0592918
ARC_779_511667_510566,38.0000,136.8000,1,779,2025-11-30T07:57:08.0592918
ARC_333_514486_514487,9.3733,33.7440,1,333,2025-11-30T07:57:08.0592918
ARC_927_519080_519080,11.6468,41.9284,1,927,2025-11-30T07:57:08.0592918
ARC_492_514097_514097,21.0000,75.6000,1,492,2025-11-30T07:57:08.0592918
ARC_569_500750_500750,10.0000,36.0000,1,569,2025-11-30T07:57:08.0592918
ARC_175_516093_516093,30.0000,108.0000,1,175,2025-11-30T07:57:08.0592918
ARC_420_517046_517167,49.1370,176.8931,1,420,2025-11-30T07:57:08.0592918
ARC_20_514314_514314,10.0000,36.0000,1,20,2025-11-30T07:57:08.0592918
ARC_640_514186_514186,4.9785,17.9225,1,640,2025-11-30T07:57:08.0592918
ARC_743_518016_518016,7.7623,27.9442,1,743,2025-11-30T07:57:08.0592918
ARC_333_514487_514487,2.6283,9.4618,1,333,2025-11-30T07:57:08.0592918
ARC_9_513129_513129,10.6304,38.2693,1,9,2025-11-30T07:57:08.0592918
ARC_9_513135_513135,44.8321,161.3954,1,9,2025-11-30T07:57:08.0592918
ARC_247_518204_518204,29.0000,104.4000,1,247,2025-11-30T07:57:08.0592918
ARC_124_514046_514047,8.5588,30.8118,1,124,2025-11-30T07:57:08.0592918
ARC_703_513148_513148,11.9951,43.1823,1,703,2025-11-30T07:57:08.0592918
ARC_1075_501151_501151,14.6278,52.6600,1,1075,2025-11-30T07:57:08.0592918
ARC_1071_511324_511324,23.0000,82.8000,1,1071,2025-11-30T07:57:08.0592918
ARC_338_511483_501402,0.8293,2.9854,1,338,2025-11-30T07:57:08.0592918
ARC_547_518009_518009,5.9188,21.3077,1,547,2025-11-30T07:57:08.0592918
ARC_867_515142_515143,10.7414,38.6692,1,867,2025-11-30T07:57:08.0592918
ARC_418_514467_514467,37.0000,133.2000,1,418,2025-11-30T07:57:08.0592918
ARC_511_516139_516139,30.0000,108.0000,1,511,2025-11-30T07:57:08.0592918
ARC_485_518114_518114,4.2226,15.2012,1,485,2025-11-30T07:57:08.0592918
ARC_522_513103_513105,33.1161,119.2181,1,522,2025-11-30T07:57:08.0592918
ARC_418_514200_514200,13.8378,49.8159,1,418,2025-11-30T07:57:08.0592918
ARC_271_514232_514232,25.3244,91.1678,1,271,2025-11-30T07:57:08.0592918
ARC_426_512069_512069,4.0000,14.4000,1,426,2025-11-30T07:57:08.0592918
ARC_418_514428_514428,8.8688,31.9278,1,418,2025-11-30T07:57:08.0592918
ARC_391_502750_502750,11.7860,42.4296,1,391,2025-11-30T07:57:08.0592918
ARC_246_514376_514278,12.5998,45.3593,1,246,2025-11-30T07:57:08.0592918
ARC_11_516078_516078,32.0000,115.2000,1,11,2025-11-30T07:57:08.0592918
ARC_184_514379_514379,35.0000,126.0000,1,184,2025-11-30T07:57:08.0592918
ARC_773_510392_510661,0.5185,1.8665,1,773,2025-11-30T07:57:08.0592918
ARC_448_514076_514377,6.1186,22.0269,1,448,2025-11-30T07:57:08.0592918
ARC_207_513003_513003,12.1896,43.8824,1,207,2025-11-30T07:57:08.0592918
ARC_503_501701_501753,2.5764,9.2752,1,503,2025-11-30T07:57:08.0592918
ARC_432_515238_515238,11.1380,40.0969,1,432,2025-11-30T07:57:08.0592918
ARC_180_511235_511235,29.3874,105.7948,1,180,2025-11-30T07:57:08.0592918
ARC_803_516195_516139,46.0918,165.9305,1,803,2025-11-30T07:57:08.0592918
ARC_905_519142_519142,7.0593,25.4134,1,905,2025-11-30T07:57:08.0592918
ARC_600_511489_511490,10.7429,38.6744,1,600,2025-11-30T07:57:08.0592918
ARC_545_515009_515009,34.8550,125.4780,1,545,2025-11-30T07:57:08.0592918
ARC_640_514271_514271,3.8163,13.7386,1,640,2025-11-30T07:57:08.0592918
ARC_717_514039_514039,3.2403,11.6652,1,717,2025-11-30T07:57:08.0592918
ARC_194_500401_500401,29.3894,105.8020,1,194,2025-11-30T07:57:08.0592918
ARC_511_515042_515043,3.5371,12.7335,1,511,2025-11-30T07:57:08.0592918
ARC_524_516064_516064,29.0000,104.4000,1,524,2025-11-30T07:57:08.0592918
ARC_816_518154_518154,8.7878,31.6359,1,816,2025-11-30T07:57:08.0592918
ARC_279_501151_501151,18.5957,66.9444,1,279,2025-11-30T07:57:08.0592918
ARC_808_518063_518063,6.8583,24.6900,1,808,2025-11-30T07:57:08.0592918
ARC_378_514213_514213,6.8302,24.5887,1,378,2025-11-30T07:57:08.0592918
ARC_29_514400_514400,13.5337,48.7215,1,29,2025-11-30T07:57:08.0592918
ARC_802_511106_511090,6.4713,23.2968,1,802,2025-11-30T07:57:08.0592918
ARC_1190_511472_511472,7.2365,26.0513,1,1190,2025-11-30T07:57:08.0592918
ARC_195_514147_514147,10.8968,39.2283,1,195,2025-11-30T07:57:08.0592918
ARC_594_512020_512021,9.6074,34.5867,1,594,2025-11-30T07:57:08.0592918
ARC_863_514312_514312,23.0000,82.8000,1,863,2025-11-30T07:57:08.0592918
ARC_566_501853_501753,10.2031,36.7312,1,566,2025-11-30T07:57:08.0592918
ARC_335_501150_501150,30.0000,108.0000,1,335,2025-11-30T07:57:08.0592918
ARC_840_518006_518006,9.0981,32.7531,1,840,2025-11-30T07:57:08.0592918
ARC_363_515148_515148,12.6952,45.7027,1,363,2025-11-30T07:57:08.0592918
ARC_223_516168_516168,11.0007,39.6026,1,223,2025-11-30T07:57:08.0626635
ARC_765_514482_514246,22.3551,80.4785,1,765,2025-11-30T07:57:08.0626635
ARC_831_519028_519029,4.7678,17.1642,1,831,2025-11-30T07:57:08.0626635
ARC_545_513257_513257,3.0000,10.8000,1,545,2025-11-30T07:57:08.0626635
ARC_479_512033_512033,4.0000,14.4000,1,479,2025-11-30T07:57:08.0626635
ARC_209_500350_500350,8.2758,29.7929,1,209,2025-11-30T07:57:08.0626635
ARC_425_515009_515009,6.0000,21.6000,1,425,2025-11-30T07:57:08.0626635
ARC_982_516092_516094,1.4789,5.3240,1,982,2025-11-30T07:57:08.0626635
ARC_53_514427_514427,2.6496,9.5386,1,53,2025-11-30T07:57:08.0626635
ARC_1036_519155_519155,27.2250,98.0100,1,1036,2025-11-30T07:57:08.0626635
ARC_100_517121_517121,9.2593,33.3334,1,100,2025-11-30T07:57:08.0626635
ARC_217_514176_514176,10.0277,36.0998,1,217,2025-11-30T07:57:08.0626635
ARC_748_514313_514313,30.0000,108.0000,1,748,2025-11-30T07:57:08.0626635
ARC_488_514343_514343,3.1468,11.3284,1,488,2025-11-30T07:57:08.0626635
ARC_197_515043_515043,4.7134,16.9684,1,197,2025-11-30T07:57:08.0626635
ARC_392_516275_516275,30.0000,108.0000,1,392,2025-11-30T07:57:08.0626635
ARC_325_515118_515118,22.0000,79.2000,1,325,2025-11-30T07:57:08.0626635
ARC_569_519141_519141,30.0000,108.0000,1,569,2025-11-30T07:57:08.0626635
ARC_903_516050_516050,7.6034,27.3724,1,903,2025-11-30T07:57:08.0626635
ARC_746_514344_514344,48.3758,174.1528,1,746,2025-11-30T07:57:08.0626635
ARC_122_519048_519048,4.0000,14.4000,1,122,2025-11-30T07:57:08.0626635
ARC_105_515190_515190,5.0434,18.1564,1,105,2025-11-30T07:57:08.0626635
ARC_183_513276_513276,30.0000,108.0000,1,183,2025-11-30T07:57:08.0626635
ARC_684_519165_502401,7.3139,26.3299,1,684,2025-11-30T07:57:08.0626635
ARC_633_514491_514491,4.5586,16.4108,1,633,2025-11-30T07:57:08.0626635
ARC_720_500150_500150,12.3792,44.5652,1,720,2025-11-30T07:57:08.0640865
ARC_216_513134_513134,11.3658,40.9170,1,216,2025-11-30T07:57:08.0640865
ARC_350_513048_513251,4.1001,14.7602,1,350,2025-11-30T07:57:08.0640865
ARC_438_518061_518061,49.2297,177.2269,1,438,2025-11-30T07:57:08.0640865
ARC_372_519142_519142,8.9031,32.0513,1,372,2025-11-30T07:57:08.0640865
ARC_9_513292_513292,11.9918,43.1705,1,9,2025-11-30T07:57:08.0640865
ARC_312_515030_515030,0.0133,0.0477,1,312,2025-11-30T07:57:08.0640865
ARC_69_502400_512001,23.3595,84.0941,1,69,2025-11-30T07:57:08.0640865
ARC_717_502351_502351,43.7955,157.6638,1,717,2025-11-30T07:57:08.0640865
ARC_3_514257_514257,2.1059,7.5812,1,3,2025-11-30T07:57:08.0640865
ARC_423_510060_510089,0.6715,2.4175,1,423,2025-11-30T07:57:08.0640865
ARC_974_519035_519035,27.0000,97.2000,1,974,2025-11-30T07:57:08.0640865
ARC_453_519097_519097,30.7544,110.7158,1,453,2025-11-30T07:57:08.0640865
ARC_608_500151_500151,17.0024,61.2088,1,608,2025-11-30T07:57:08.0640865
ARC_974_513119_513119,5.9109,21.2793,1,974,2025-11-30T07:57:08.0640865
ARC_765_514246_514246,7.6200,27.4321,1,765,2025-11-30T07:57:08.0640865
ARC_853_511234_511011,2.2539,8.1139,1,853,2025-11-30T07:57:08.0640865
