# Test: 1 MILLÓN
# Timestamp: 2025-11-30T04:30:46.951546900
# Datagramas procesados: 781,859
# Tiempo procesamiento: 1,272,607 ms
# Resultados válidos: 127/127
arc_id,velocity_m_s,velocity_km_h,sample_count,line_id,timestamp
ARC_A18_510191_510525,19.2800,69.4081,1,A18,2025-11-30T04:30:46.953055
ARC_779_511520_511456,38.0000,136.8000,1,779,2025-11-30T04:30:46.9547461
ARC_A10_511784_510159,31.2418,112.4705,1,A10,2025-11-30T04:30:46.9547461
ARC_333_514486_514487,9.3733,33.7440,1,333,2025-11-30T04:30:46.9547461
ARC_927_519080_519080,11.6468,41.9284,1,927,2025-11-30T04:30:46.9547461
ARC_492_514097_514097,21.0000,75.6000,1,492,2025-11-30T04:30:46.9547461
ARC_569_500750_500750,10.0000,36.0000,1,569,2025-11-30T04:30:46.9555638
ARC_175_516093_516093,30.0000,108.0000,1,175,2025-11-30T04:30:46.9555638
ARC_420_517046_517167,49.1370,176.8931,1,420,2025-11-30T04:30:46.9555638
ARC_20_514314_514314,10.0000,36.0000,1,20,2025-11-30T04:30:46.9555638
ARC_640_514186_514186,4.9785,17.9225,1,640,2025-11-30T04:30:46.9555638
ARC_743_518016_518016,7.7623,27.9442,1,743,2025-11-30T04:30:46.9555638
ARC_333_514487_514487,2.6283,9.4618,1,333,2025-11-30T04:30:46.9555638
ARC_9_513129_513129,10.6304,38.2693,1,9,2025-11-30T04:30:46.9555638
ARC_9_513135_513135,44.8321,161.3954,1,9,2025-11-30T04:30:46.9555638
ARC_247_518204_518204,29.0000,104.4000,1,247,2025-11-30T04:30:46.9555638
ARC_124_514046_514047,8.5588,30.8118,1,124,2025-11-30T04:30:46.9555638
ARC_703_513148_513148,11.9951,43.1823,1,703,2025-11-30T04:30:46.9555638
ARC_1075_501151_501151,14.6278,52.6600,1,1075,2025-11-30T04:30:46.9565637
ARC_1071_511324_511324,23.0000,82.8000,1,1071,2025-11-30T04:30:46.9565637
ARC_338_510329_501402,0.8293,2.9854,1,338,2025-11-30T04:30:46.9565637
ARC_547_518009_518009,5.9188,21.3077,1,547,2025-11-30T04:30:46.9565637
ARC_867_515142_515143,10.7414,38.6692,1,867,2025-11-30T04:30:46.9565637
ARC_418_514467_514467,37.0000,133.2000,1,418,2025-11-30T04:30:46.9565637
ARC_511_516139_516139,30.0000,108.0000,1,511,2025-11-30T04:30:46.9565637
ARC_485_518114_518114,4.2226,15.2012,1,485,2025-11-30T04:30:46.9565637
ARC_522_513103_513105,33.1161,119.2181,1,522,2025-11-30T04:30:46.9565637
